Title,Address,Editor-Notes,Category,ALPDEntry
Industrial Hygiene Bulletin (monthly),"Bureau of Industrial Hygiene, New York State Department of Labor, 124 East 28th Street, New York, N. Y.",Dr. Leland E. Cofer,Governmental,"Industrial Hygiene Bulletin (monthly). Established 1924, 4 pages, circulation 20,000. Bureau of Industrial Hygiene, New York State Department of Labor, 124 East 28th Street, New York, N. Y. Dr. Leland E. Cofer. Scientific and educational publication."
Labor and Industry (monthly),"Commonwealth of Pennsylvania, The Capitol, Harrisburg, Pa. Department of Labor and Industry",W. A. Riddle,Governmental,"Labor and Industry (monthly). Established 1914, 50 pages, cir culation 16,800. Commonwealth of Pennsylvania, The Capitol, Harrisburg, Pa. Department of Labor and Industry, W. A. Riddle, exec. sect."
"Labor Bulletin, The (monthly)","Illinois Department of Labor, 116 North Dearborn Street, Chicago, Illinois",R. D. Cahn,Governmental,"Labor Bulletin, The (monthly). Established 1921, 16 pages, cir culation 5,000. Illinois Department of Labor, 116 North Dearborn Street, Chicago, Illinois. R. D. Cahn."
Monthly Labor Review (monthly),"United States Department of Labor, Bureau of Labor Statistics, Washington, D. C.",NONE,Governmental,"Monthly Labor Review (monthly). Established 1915, 200 pages, $1.50. United States Department of Labor, Bureau of Labor Statistics, Washington, D. C."
Oklahoma Labor Market (monthly),"Department of Labor, State of Oklahoma, Oklahoma City, Okla.",NONE,Governmental,"Oklahoma Labor Market (monthly). Established 1924, 4-8 pages, circulation 600. Department of Labor, State of Oklahoma, Oklahoma City, Okla. Commissioner of Labor and Statistics.- Deals with employment, wages, etc."
Oregon Safety News (monthly),"State Industrial Accident Commission and Oregon Branch of the National Safety Council, Capitol Building, Salem, Ore.",William A. Marshall,Governmental,"Oregon Safety News (monthly). Established 1921, 4 pages, cir culation 4,000. State Industrial Accident Commission and Oregon Branch of the National Safety Council, Capitol Building, Salem, Ore. William A. Marshall, Commissioner."
Publications of the Children's Bureau (irregular),"United States Department of Labor, Children's Bureau, Washington, D. C.",NONE,Governmental,"Publications of the Children's Bureau (irregular). United States Department of Labor, Children's Bureau, Washington, D. C."
Wisconsin Labor Market (monthly),"Industrial Commission of Wisconsin, State Capitol, Madison, Wis.",NONE,Governmental,"Wisconsin Labor Market (monthly). Established 1922, 8 pages, Industrial Commission of Wisconsin, State Capitol, Madison, Wis."
Wisconsin Labor Statistics (monthly),"Industrial Commission of Wisconsin, State Capitol, Madison, Wis.",NONE,Governmental,"Wisconsin Labor Statistics (monthly). Established 1922, 8 pages. Industrial Commission of Wisconsin, State Capitol, Madison, Wis."
Southern Labor Review (weekly),"A. H. Cather . Publishing Co., 4194 N. 21st Street, Birmingham, Ala. A. H. Cather",Democratic.,General Labor (U.S.),"Southern Labor Review (weekly). Wednesdays. Established 1918, 16 pages, $1, circulation 5,000. A. H. Cather . Publishing Co., 4194 N. 21st Street, Birmingham, Ala. A. H. Cather, ed. Democratic."
Bisbee Square Deal,NONE,NONE,General Labor (U.S.),"Bisbee Square Deal. Bisbee, Ariz."
Arizona Labor Journal (weekly),"Arizona State Federation of Labor, 31 South First Ave., Phoenix, Arizona. B. R. Carpenter","Democratic. Equitist, The (weekly",General Labor (U.S.),"Arizona Labor Journal (weekly). Saturdays. 4 pages, $2. Arizona State Federation of Labor, 31 South First Ave., Phoenix, Arizona. B. R. Carpenter, ed. Democratic. Equitist, The (weekly). Fridays. Established 1918, 6-8 pages, $1.50. The Equitist League, R. 4, Box 225 A, Phoenix, Ariz. W. E. Brokaw, ed. Uses mats."
Southwestern Record (weekly),"J. W. Hopkins, Tucson, Ariz. George K. York",NONE,General Labor (U.S.),"Southwestern Record (weekly). Thursdays. Established 1919, 4 pages, $2.50, circulation 1,800. J. W. Hopkins, Tucson, Ariz. George K. York, ed."
Union Labor Advocate,"Hot Springs, Ark.",NONE,General Labor (U.S.),"Union Labor Advocate. Hot Springs, Ark. Union Labor Bulletin (weekly). Hot Springs, Ark."
Huntington Herald (weekly),"Huntington, Ark.",NONE,General Labor (U.S.),"Huntington Herald (weekly). Huntington, Ark."
Union Labor Bulletin (weekly),"Union Publishing Co. Inc., 519 Scott Street, Little Rock, Ark. L. H. Moore","Official organ, Central Trades Council, which owns stock of corporation. International Labor News. Uses mats.",General Labor (U.S.),"Union Labor Bulletin (weekly). Fridays. Established 1900, 8 pages, $1, circulation 3,000. Union Publishing Co. Inc., 519 Scott Street, Little Rock, Ark. L. H. Moore, ed. Official organ, Central Trades Council, which owns stock of corporation. International Labor News. Uses mats."
American Railroad Chronicle (monthly),"J. Dowling, pub. and ed.,109 Main Street, Pine Bluff, Ark. International Labor News.",NONE,General Labor (U.S.),"American Railroad Chronicle (monthly). Established 1918, 20-50 pages, $2, circulation 3,000. R. J. Dowling, pub. and ed.,109 Main Street, Pine Bluff, Ark. International Labor News."
Texarkana Independent Union News (weekly),"Texarkana, Ark.",NONE,General Labor (U.S.),"Texarkana Independent Union News (weekly). Texarkana, Ark."
Kern County Union Labor Journal (weekly),"Kern County Labor Council, Labor Temple, I. Street, Bakersfield, Calif. Wallace Watson",International Labor News. Uses mats.,General Labor (U.S.),"Kern County Union Labor Journal (weekly). Fridays. Established 1904, 8 pages, $2, circulation 2,500. Kern County Labor Council, Labor Temple, I. Street, Bakersfield, Calif. Wallace Watson, ed. International Labor News. Uses mats."
"Labor News, The (weekly)","Eureka Federated Trades and Labor Council, E Street and Ninth, Eureka, Calif. George W. Farley","American Federation of Labor Weekly News, International Labor News. Uses mats. Fresno",General Labor (U.S.),"Labor News, The (weekly). Saturdays. Established 1900, 8 pages, $2, circulation 1,200. Eureka Federated Trades and Labor Council, E Street and Ninth, Eureka, Calif. George W. Farley, ed. American Federation of Labor Weekly News, International Labor News. Uses mats. Fresno"
Tri-County Labor News (weekly),"Fresno Labor Council, Fresno County Building Trades Council, 1139 Broad way, Fresno, Calif. C. E. Dowd",International Labor News. Uses. mats.,General Labor (U.S.),"Tri-County Labor News (weekly). Fridays. Established 1900, 8 pages, $2, circulation 4,000. Fresno Labor Council, Fresno County Building Trades Council, 1139 Broad way, Fresno, Calif. C. E. Dowd, ed. International Labor News. Uses. mats."
Union News,"Union News. 2120 Kern Street, Fresno, Calif.",NONE,General Labor (U.S.),"Union News. 2120 Kern Street, Fresno, Calif. Long Beach"
"Labor News, The (weekly)","The Central Labor Council, 537 American Avenue, Long Beach, Calif. Fred W. Jackson","International Labor News, Labor Bu reau, Inc., United Labor Press of California.",General Labor (U.S.),"Labor News, The (weekly). Thursdays. Established 1918, 8 pages, $2, circulation 4,000. The Central Labor Council, 537 American Avenue, Long Beach, Calif. Fred W. Jackson, ed. International Labor News, Labor Bu reau, Inc., United Labor Press of California."
"Oil Worker, The (weekly)","District Council 1, Oil Workers' International Union, 326 C American Avenue, P. O. Box 13, Long Beach, Calif. Harvey C. Fremming","United Labor Press of California, International Labor News. Los Angeles",General Labor (U.S.),"Oil Worker, The (weekly). Wednesdays. Established 1918, 4-8 pages, $2. District Council 1, Oil Workers' International Union, 326 C American Avenue, P. O. Box 13, Long Beach, Calif. Harvey C. Fremming, ed. United Labor Press of California, International Labor News. Los Angeles"
"Citizen, The (weekly)","Central Labor Council, 540 Maple Avenue, Los Angeles, Calif. James M. Byrne","International Labor News, Am erican Federation of Labor Weekly News.",General Labor (U.S.),"Citizen, The (weekly). Fridays. Established as Union Labor News, 1901, The Citizen, 1907, 8 pages, $1.50. Central Labor Council, 540 Maple Avenue, Los Angeles, Calif. James M. Byrne, ed. International Labor News, Am erican Federation of Labor Weekly News."
Southern California Labor Press (weekly),"Union Labor Publishing Association, 443 South San Pedro Street, Los Angeles, Calif. Francis Drake","Official organ, State Building Trades Council, etc. Inter national Labor News, United Labor Press of Califor nia. Uses mats.",General Labor (U.S.),"Southern California Labor Press (weekly). Fridays. Estab lished 1924, 8 pages, $1.50, circulation 10,000. Union Labor Publishing Association, 443 South San Pedro Street, Los Angeles, Calif. Francis Drake, ed. Of ficial organ, State Building Trades Council, etc. Inter national Labor News, United Labor Press of Califor nia. Uses mats."
Contra-Costa County Labor Journal,"Contra-Costa County Labor Journal. 200 Twelfth Street, Oakland, California.",NONE,General Labor (U.S.),"Contra-Costa County Labor Journal. 200 Twelfth Street, Oakland, California."
"Daily Record, The (daily)","Union Labor Publishing Co., 286 12th Street, Oakland, Calif. Stanton W. Lore","United Press, International Labor News. Uses mats. Official organ, Central Labor Council, etc.",General Labor (U.S.),"Daily Record, The (daily). Established 1924, 8-16 pages, $6,, circulation 16,200. Union Labor Publishing Co., 286 12th Street, Oakland, Calif. Stanton W. Lore, ed. United Press, International Labor News. Uses mats. Official organ, Central Labor Council, etc."
East Bay Labor Journal,"East Bay Labor Journal. 200 Twelfth Street, Oakland, California.",NONE,General Labor (U.S.),"East Bay Labor Journal. 200 Twelfth Street, Oakland, California."
Union Labor Record (weekly),"Union Labor Pub lishing Co., 285 12th Street, Oakland, Calif. Stanton W. Lore","International Labor News. Uses mats. Official organ, Central Labor Council, etc.",General Labor (U.S.),"Union Labor Record (weekly). Fridays. Established 1918, 8- 12 pages, $1.50, circulation 8,000. Union Labor Pub lishing Co., 285 12th Street, Oakland, Calif. Stanton W. Lore, ed. International Labor News. Uses mats. Official organ, Central Labor Council, etc."
California Labor Chronicle (weekly),"A. J. Harder and V. J. O'Leary, 312 Ochsner Bldgs., Sacramento, Calif. A. J. Harder",Uses mats. Endorsed by Federated and Building Trades Councils.,General Labor (U.S.),"California Labor Chronicle (weekly). Fridays. 4 pages, $1.50, circulation 5,000. A. J. Harder and V. J. O'Leary, 312 Ochsner Bldgs., Sacramento, Calif. A. J. Harder, ed. Uses mats. Endorsed by Federated and Building Trades Councils."
Tribune (weekly),"Tribune (weekly). 729 I Street, Sacramento, California.",NONE,General Labor (U.S.),"Tribune (weekly). 729 I Street, Sacramento, California."
"Labor Journal, The (weekly)","John K. Tibbitts, pub, and ed., 1013 Third Street, San Bernardino, Calif. En dorsed by Central Labor Council, etc. International Labor News. Uses mats.",NONE,General Labor (U.S.),"Labor Journal, The (weekly). Fridays. Established 1919, 8 pages, $2, circulation 5,000. John K. Tibbitts, pub, and ed., 1013 Third Street, San Bernardino, Calif. En dorsed by Central Labor Council, etc. International Labor News. Uses mats."
"San Diego Labor Leader, The (weekly)","The San Diego County Federated Trades and Labor Council, 644 , Fourth Street, P. O. Box 1406, San Diego, Calif. Albert G. Rogers","American Federation of Labor Weekly News, International Labor News. Uses mats.",General Labor (U.S.),"San Diego Labor Leader, The (weekly). Fridays. Established 1905, 8 pages, $2, circulation 2,500. The San Diego County Federated Trades and Labor Council, 644 , Fourth Street, P. O. Box 1406, San Diego, Calif. Albert G. Rogers, ed. American Federation of Labor Weekly News, International Labor News. Uses mats."
Labor Clarion (weekly),"San Francisco Labor Council, 2940 Sixteenth Street, San Francisco, Calif. James W. Mullen","International Labor News, American Fede ration of Labor Weekly News.",General Labor (U.S.),"Labor Clarion (weekly). Fridays. Established 1902, 16 pages, $1.50, circulation 12,000. San Francisco Labor Council, 2940 Sixteenth Street, San Francisco, Calif. James W. Mullen, ed. International Labor News, American Fede ration of Labor Weekly News."
Musical and Theatrical News (fortnightly),"American Federation of Musicians, 230 Jones Street, San Francisco, Calif. A. A. Greenbaum, ed., Mo Davis, bus. mgr.",NONE,General Labor (U.S.),"Musical and Theatrical News (fortnightly). Established 1915, 12 or more pages, circulation 2,650. Musicians Union Number 6, American Federation of Musicians, 230 Jones Street, San Francisco, Calif. A. A. Greenbaum, ed., Mo Davis, bus. mgr."
Organized Labor (weekly),"Organized Labor Publishing Co., Inc., 1122 Mission Street, San Francisco, Calif.","Official organ, State and local Building Trades Councils.",General Labor (U.S.),"Organized Labor (weekly). Saturdays. Established 1900, 8 pages, $1.50, circulation 16,500. Organized Labor Pub lishing Co., Inc., 1122 Mission Street, San Francisco, Calif. Official organ, State and local Building Trades Councils."
Rank and File (weekly),"Workers' Association, Pacific Building, San Francisco, Calif. A. E. Albright",NONE,General Labor (U.S.),"Rank and File (weekly). Thursdays. Established 1920, $2. Workers' Association, Pacific Building, San Francisco, Calif. A. E. Albright, ed."
"Search-Light, The (monthly)","Ferryboatmen's Union of California, 59 Clay Street, San Francisco, Calif. C. W. Deal",American Federation of Labor Weekly News. San Jose,General Labor (U.S.),"Search-Light, The (monthly). Established 1922, 4 pages, $.50, circulation 800. Ferryboatmen's Union of California, 59 Clay Street, San Francisco, Calif. C. W. Deal, ed. American Federation of Labor Weekly News. San Jose"
"Union Journal, The (weekly)","Will J. Telfer, pub. and ed., 173 West Santa Clara Street, San Jose, Calif.","Official organ, Central Labor Council, etc. International Labor News, American Federation of Labor Weekly News, United Labor Press of California. Uses mats.",General Labor (U.S.),"Union Journal, The (weekly). Fridays. Established 1904, 8 pages, $2.50, circulation 4,000. Will J. Telfer, pub. and ed., 173 West Santa Clara Street, San Jose, Calif. Official organ, Central Labor Council, etc. Interna tional Labor News, American Federation of Labor Weekly News, United Labor Press of California. Uses mats."
Union Labor News (weekly),"Bredsteen and Tosh, 740 State Street, Santa Barbara, Calif. Joseph Bredsteen","Official organ, Central Labor Union, etc. Uses mats.",General Labor (U.S.),"Union Labor News (weekly). Fridays. Established 1925, 4 pages, $2, circulation 1,250. Bredsteen and Tosh, 740 State Street, Santa Barbara, Calif. Joseph Bredsteen, ed. Official organ, Central Labor Union, etc. Uses mats."
Sonoma County Labor Journal (weekly),"Bredsteen and Tosh, 4th and D Streets, Santa Rosa, Calif. Joseph Bredsteen","Official organ, Central Labor Council, etc. Uses mats.",General Labor (U.S.),"Sonoma County Labor Journal (weekly). Saturdays. Estab lished 1922, 4 pages, $2. Bredsteen and Tosh, 4th and D Streets, Santa Rosa, Calif. Joseph Bredsteen, ed. Official organ, Central Labor Council, etc. Uses mats."
"Forum, The (weekly)","L. Di Beckwith, pub. and ed., 1134 East Main, P. O. Box 333, Stockton, Calif.","A liberal paper, columns open to readers. Commercial advertising limited to one inch; non-commercial ad. limit, six inches.",General Labor (U.S.),"Forum, The (weekly). Thursdays. Established 1921, 4 pagft, $2.50. L. Di Beckwith, pub- and ed., 1134 East Main, P. O. Box 333, Stockton, Calif. A liberal paper, columns open to readers. Commercial 'advertising limited to one inch; non-commercial ad. limit, six inches."
Stockton Labor Journal (weekly),"Joseph Bredsteen and W. R. Tosh, 216 East Market St., Stockton, Calif. Joseph Bred steen","Official organ, Central Labor Council, etc. Uses mats.",General Labor (U.S.),"Stockton Labor Journal (weekly). Thursdays. Established 1922, 4 pages, $2. Joseph Bredsteen and W. R. Tosh, 216 East Market St., Stockton, Calif. Joseph Bred steen, ed. Official organ, Central Labor Council, etc. Uses mats."
West Side Union (weekly),"Taft, CA",NONE,General Labor (U.S.),"West Side Union (weekly). Central Labor Union, Taft, Calif."
Labor Journal (weekly),"Vallejo, CA",NONE,General Labor (U.S.),"Labor Journal (weekly). Vallejo, Calif."
"Labor News, The (weekly)","E. H. Joslyn, pub. and ed., 112 E. Cucharras Street, Colorado Springs, Colo.",NONE,General Labor (U.S.),"Labor News, The (weekly). Fridays. Established 1902, 8 pages, $1.50. E. H. Joslyn, pub. and ed., 112 E. Cu- charras Street, Colorado Springs, Colo."
Colorado Labor Advocate (weekly),"The Power Publishing Co., (owned by State Federation of Labor, Denver Trades Assembly, etc.), 1715 California St., Denver, Colo. Frank L. Palmer","American Federa tion of Labor Weekly News'. , '",General Labor (U.S.),"Colorado Labor Advocate (weekly). Thursdays. Established 1922, 8 pages, $1, circulation 12,400. The Power Pub lishing Co., (owned by State Federation of Labor, Denver Trades Assembly, etc.), 1715 California St., Denver, Colo. Frank L. Palmer, ed. American Federa tion of Labor Weekly News'. , '"
"Denver Labor Bulletin, The (weekly)","Edward J. Hines, pub. and ed., 1824 Curtis Street, P. O. Box 447, Den ver, Colo. International Labor News.",NONE,General Labor (U.S.),"Denver Labor Bulletin, The (weekly). Saturdays. Established 1905, 4-8 pages, $2, circulation 4,500. Edward J. Hines, pub. and ed., 1824 Curtis Street, P. O. Box 447, Den ver, Colo. International Labor News."
Risveglio (semi-weekly),"Italian-American Publishing Co., P. O. Box 1,555, Denver, Colo. Frank Mancini",Pueblo,General Labor (U.S.),"Risveglio (semi-w.). Established 1906, 8 pages, $3, circu lation 4,500. Italian-American Publishing Co., P. O. Box 1,555, Denver, Colo. Frank Mancini, ed. Pueblo"
L'Unione (fortnightly),"Union Publishing Co., 318-20 S. Victoria Ave., Pueblo, Colo. Vincenzo Massari","Official organ, District 15, United Mine Workers of America, Colum bian Federation of Italian American Societies.",General Labor (U.S.),"L'Unione (fortnightly). Established 1897, 8 pages, $2, circulation 18,750. Union Publishing Co., 318-20 S. Victoria Ave., Pueblo, Colo. Vincenzo Massari, ed. Official organ, District 15, United Mine Workers of America, Colum bian Federation of Italian American Societies."
New Britain Labor Standard (fortnightly),NONE,NONE,General Labor (U.S.),"New Britain Labor Standard (fortnightly). New Britain, Conn."
Connecticut Labor News (weekly),"I. M. Ornburn, 148 George Street, New Haven, Conn. W. W. Barry","Official organ, Trades Counci1. Uses mats.",General Labor (U.S.),"Connecticut Labor News (weekly). Saturdays. Established 1913, 8 pages, $1.50, circulation 5,600. I. M. Ornburn, 148 George Street, New Haven, Conn. W. W. Barry, ed. Official organ, Trades Counci1. Uses mats."
Labor Gazette,"Labor Gazette. Southern Building, Wilmington, Del. J. C. Saylor, ed.",NONE,General Labor (U.S.),"Labor Gazette. Southern Building, Wilmington, De1. Labor Herald (weekly). Saturdays. Established 1901, 8 pages, ft, circulation 6,800. Labor Herald Publishing Co., 415 hipley Street, Wilmington, Del. J. C. Saylor, ed. Uses mats."
Labor (weekly),"Labor Cooperative Educational and Publishing Society, 10 B Street, S.W., Washington, D. C. Edward Keating",Owned and controlled by 16 associated railroad labor organizations.,General Labor (U.S.),"Labor (weekly). Saturdays. Established 1919, 4 pages, $2, cir culation 500,000. Labor Cooperative Educational and Publishing Society, 10 B Street, S.W., Washington, D. C. Edward Keating, ed. Owned and controlled by 16 associated railroad labor organizations."
"Trades Unionist, The (weekly)","John B. Colpoys, pub. and ed., 720 Fifth Street, N.W., Washington, D. C. Official organ, Central Labor Union, etc. American Federa tion of Labor Weekly News, International Labor News, uses mats.",NONE,General Labor (U.S.),"Trades Unionist, The (weekly). Saturdays. Established 1896, 8 pages, $2, circulation 5,000. John B. Colpoys, pub. and ed., 720 Fifth Street, N.W., Washington, D. C. Official organ, Central Labor Union, etc. American Federa tion of Labor Weekly News, International Labor News, uses mats."
Artisan (weekly),"Jacksonville, Fla.",NONE,General Labor (U.S.),"Artisan (weekly). Central Trades and Labor Council, Jacksonville, Fla."
"Labor News, The (weekly)","M. Hays, pub. and ed., P. O. Box 585, 133 West 16th Street, Jacksonville, Fla. En dorsed by Central Labor Union and railroad brother hoods. American Federation of Labor Weekly News, International Labor News. Miami",NONE,General Labor (U.S.),"Labor News, The (weekly). Established 1922, 4-12 pages, $2, circulation 3,100. O. M. Hays, pub. and ed., P. O. Box 585, 133 West 16th Street, Jacksonville, Fla. En dorsed by Central Labor Union and railroad brother hoods. American Federation of Labor Weekly News, International Labor News. Miami"
Miami News (weekly),"G. H. Russell, 14 S. East First Street, Miami, Fla. F. W. Shepper","Offi cial organ, Central Labor Union, etc. American Fede ration of Labor Weekly News, International Labor News. Uses mats. Democratic. Tampa",General Labor (U.S.),"Miami News (weekly). Thursdays. Established 1920, 8-16 pages, $2, circulation 2,800. G. H. Russell, 14 S. East First Street, Miami, Fla. F. W. Shepper, ed. Offi cial organ, Central Labor Union, etc. American Fede ration of Labor Weekly News, International Labor News. Uses mats. Democratic. Tampa"
Florida Labor News (weekly),"The Florida Labor News Pub Co., Hampton Building, 713J4 Franklin Street, Tampa, Fla. A. B. Grout","Official organ, Cen tral Trades and Labor Assembly. International Labor News, American Federation of Labor Weekly News. Uses mats.",General Labor (U.S.),"Florida Labor News (weekly). Fridays. Established 1924, 6-40 pages, $2, circulation 3,500. The Florida Labor News Pub Co., Hampton Building, 713J4 Franklin Street, Tampa, Fla. A. B. Grout, ed. Official organ, Cen tral Trades and Labor Assembly. International Labor News, American Federation of Labor Weekly News. Uses mats."
"Internacional, El (weekly)","Joint Advisory Board, local unions, Cigarmakers' International Union of America, 1614 Eighth Avenue, P. O. Box 5116, Ybor City Sta., Tampa, Fla. J. M. Rodriguez",NONE,General Labor (U.S.),"Internacional, El (weekly). Spanish. Fridays. Established 1906, 4 pages, circulation 1,500. Joint Advisory Board, local unions, Cigarmakers' International Union of America, 1614 Eighth Avenue, P. O. Box 5116, Ybor City Sta., Tampa, Fla. J. M. Rodriguez, ed."
Journal of Labor (weekly),"Jerome Jones, pub. and ed., Peters Building, Atlanta, Ga.",NONE,General Labor (U.S.),"Journal of Labor (weekly). Fridays. Established 1898, 8 pages, $1.50, circulation 4,500. Jerome Jones, pub. and ed., Peters Building, Atlanta, Ga."
Labor Review (weekly),"Labor Review Publishing Co., Campbell Building, Augusta, Ga. Max Wilk",NONE,General Labor (U.S.),"Labor Review (weekly). Saturdays. Established 1915, 4-8 pages, $1, circulation 3,600. Labor Review Publishing Co., Campbell Building, Augusta, Ga. Max Wilk, ed."
Workman (weekly),"John R. Hardin, pub. and ed., Rome, Ga.",NONE,General Labor (U.S.),"Workman (weekly). Fridays. Established 1919, $1. John R. Hardin, pub. and ed., Rome, Ga."
Gleaner (weekly),"J. B. Far ley, pub. and ed., 107 Whitaker Street, Savannah, Ga.",NONE,General Labor (U.S.),"Gleaner (weekly). Saturdays. Established 1913, $2. J. B. Far ley, pub. and ed., 107 Whitaker Street, Savannah, Ga."
"Alton Leader, The (weekly)","Leader Printing Co., 321 State Street, Alton, Ill. H. C. Maddox","Owned by labor unions. Official organ, Trades and Labor Assembly, etc. American Federation of Labor Weekly News. Uses mats.",General Labor (U.S.),"Alton Leader, The (weekly). Fridays. Established 1920, 4-8 pages, $2.50, circulation 3,500. Leader Printing Co., 321 State Street, Alton, Ill. H. C. Maddox, ed. Owned by labor unions. Official organ, Trades and Labor Assembly, etc. American Federation of Labor Weekly News. Uses mats."
Aurora Fox River Leader,NONE,NONE,General Labor (U.S.),"Aurora Fox River Leader.. Aurora, Ill."
"Searchlight, The (weekly)","Trades and Labor Assembly, 724 W. Washington Street, Bloomington, Ill. J. L. North","International Labor News. Uses mats. ,",General Labor (U.S.),"Searchlight, The (weekly). Fridays. Established 1917, 4 pages, $2, circulation 4,000. Trades and Labor Assembly, 724 W. Washington Street, Bloomington, Ill. J. L. North, ed. International Labor News. Uses mats. ,"
Twin City Review (weekly),"The Twin City Cooperative Press, Inc., 116 N. First Street, Champaign, Ill. W. C. Aye","Official organ, Twin City Federation of Labor. International Labor News, American Federa tion of Labor Weekly News Uses mats.",General Labor (U.S.),"Twin City Review (weekly). Fridays. Established 1920, 4 pages, $2.50, circulation 3,000. The Twin City Cooperative Press, Inc., 116 N. First Street, Champaign, Ill. W. C. Aye, ed. Official organ, Twin City Federation of Labor. International Labor News, American Federa tion of Labor Weekly News Uses mats."
"Federation News, The (weekly)","Chicago Federation of Labor, 166 West Washington Street, Chicago, Ill. James Bruck",NONE,General Labor (U.S.),"Federation News, The (weekly). Saturdays. Established 1919, 12 pages, $2.50, circulation 15,000. Chicago Federation of Labor, 166 West Washington Street, Chicago, Ill. James Bruck, ed."
Illinois Labor News (monthly),"Illinois Labor News, Inc., 105 West Monroe Street, Chicago, Ill. C. E. Bowers",In ternational Labor News. Uses mats.,General Labor (U.S.),"Illinois Labor News (monthly). Established 1923, 4 pages, $1, circulation 16,000. Illinois Labor News, Inc., 105 West Monroe Street, Chicago, Ill. C. E. Bowers, ed. In ternational Labor News. Uses mats."
Illinois State Federation of Labor Weekly News Letttr (weekly),"Illinois State Federation of Labor, 166 West Washington St., Chicago, Ill. Victor A. Olander, John H. Walker, eds. American Federation of Labor Weekly News. Sent to all affiliated local unions and central bodies.",NONE,General Labor (U.S.),"Illinois State Federation of Labor Weekly News Letttr (weekly). Saturdays. Established 1915, 4-8 pages. Illinois State Federation of Labor, 166 West Washington St., Chicago, Ill. Victor A. Olander, John H. Walker, eds. American Federation of Labor Weekly News. Sent to all affiliated local unions and central bodies."
Prosveta (daily),"2657-9 South Lawndale Avenue, Chicago, Ill.Joseph Zavertnik, John Molek, Andrew Kobal, eds.", Sympathizes with unionism and Socialism.,General Labor (U.S.),"Prosveta (daily). Established 1907, 4-8 pages, $5, circulation 13,834 5 days and Wednesdays 44,843. Slavonic National Benefit Society, 2657-9 South Lawndale Avenue, Chicago, Ill. Joseph Zavertnik, John Molek, Andrew Kobal, eds. Sympathizes with unionism and Socialism."
Public Ownership (monthly),"Public Ownership League of America, 127 North Dearborn Street, Chicago, Ill.",NONE,General Labor (U.S.),"Public Ownership (monthly). Public Ownership League of America, 127 North Dearborn Street, Chicago, Ill."
Rovnost Ludu (semi-weekly),"1510 West 18th Street, Chicago, Ill.",Endorsed by sick benefit societies. Uses mats.,General Labor (U.S.),"Rovnost Ludu (semi-weekly). Established 1907, 8 pages, $4. Slovak workers, publishers, 1510 West 18th Street, Chicago, Ill. Endorsed by sick benefit societies. Uses mats."
Union Labor Advocate (monthly),"George Hodge, pub. and ed., 107 N. Market Street, Chicago, Ill.",NONE,General Labor (U.S.),"Union Labor Advocate (monthly). Established 1900, $1.50. George Hodge, pub. and ed., 107 N. Market Street, Chicago, Ill."
Union Labor News (weekly),"American Labor Press, Inc., 160 North Wells Street, Chicago, Ill. Pete Cunniflf","Official organ, several local jinions. Uses mats.",General Labor (U.S.),"Union Labor News (weekly). Saturdays. Established 1916, 8 pages, $2, circulation 56,220. American Labor Press, Inc., 160 North Wells Street, Chicago, Ill. Pete Cun- niflf, ed. Official organ, several local jinions. Uses mats."
"Union Leader, The (weekly)","Amalgamated Association of Street and Electric Railway Employes of America, 332 South Ashland Boulevard, Chicago, Ill. L. D. Bland",American Federation of Labor Weekly News. Uses mats.,General Labor (U.S.),"Union Leader, The (weekly). Saturdays. Established 1902, 8 pages, $1.25, circulation 22,000. Amalgamated Associa tion of Street and Electric Railway Employes of Ameri ca, 332 South Ashland Boulevard, Chicago, Ill. L. D. Bland, ed. American Federation of Labor Weekly News. Uses mats."
Labor Leader (weekly),"Harry Mueller, pub. and ed., 115 West Main Street, Danville, Ill. Uses mats.",NONE,General Labor (U.S.),"Labor Leader (weekly). Thursdays. Established 1909, $2, cir culation 3,210. Harry Mueller, pub. and ed., 115 West Main Street, Danville, Ill. Uses mats."
Vermilion County Star (weekly),"Vermilion County Publishing Association, 129% East Main Street, Danville, Ill. F. A. Leven","Official organ, Trades and Labor Council, etc. International Labor News, Federated Press. Uses mats. Decatur",General Labor (U.S.),"Vermilion County Star (weekly). Thursdays. Established 1923, 8 pages, $2.50, circulation 4,500. Vermilion County Publishing Association, 129% East Main Street, Danville, Ill. F. A. Leven, ed. Official organ, Trades and Labor Council, etc. International Labor News, Federated Press. Uses mats. Decatur"
Decatur Weekly News (weekly),"Trades Assembly and Local Unions, 716 East Eldorado Street, Decatur. Ill. R. G. Williams",International Labor News. Galesburg,General Labor (U.S.),"Decatur Weekly News (weekly). Wednesdays. Established 1920. 4 pages, $1, circulation 2,200. Trades Assembly and Local Unions, 716 East Eldorado Street, Decatur. Ill. R. G. Williams, ed. International Labor News. Galesburg"
Galesburg Labor News (weekly),"The Labor (News Co. Inc., 56 North Cherry Street, Galesburg, Ill. Thos. R. Downie","Official organ, labor unions in district. Federated Press, American Federation of Labor Weekly News. Uses mats.",General Labor (U.S.),"Galesburg Labor News (weekly). Fridays. Established 1894, 8 pages, $1.50, circulation 3,000. The Labor (News Co. Inc., 56 North Cherry Street, Galesburg, Ill. Thos. R. Downie, ed. Official organ, labor unions in district. Federated Press, American Federation of Labor Weekly News. Uses mats."
